yearID,AvgCPI,LeagueMinSal
1985,107.6,60000
1986,109.6,60000
1987,113.6,62500
1988,118.3,62500
1989,124,68000
1990,130.7,100000
1991,136.2,100000
1992,140.3,109000
1993,144.5,109000
1994,148.2,109000
1995,152.4,109000
1996,156.9,109000
1997,160.5,150000
1998,163,170000
1999,166.6,200000
2000,172.2,200000
2001,177.1,200000
2002,179.9,200000
2003,184,300000
2004,188.9,300000
2005,195.3,316000
2006,201.6,327000
2007,207.3,380000
2008,215.3,390000
2009,214.5,400000
2010,218.1,400000
2011,224.9,414000
2012,229.6,480000
2013,233,490000
2014,236.7,500000
2015,237,507500
2016,240,507500
2017,245.1,535000
2018,251.1,545000
2019,255.7,555000
2020,258.8,563500
2021,271,570500
2022,294.4,